,Rkotei,Rcall,SR,RSR,cpi
2019.3,,-0.06,-4.31,-4.31,100.07
2019.4,,-0.03,-4.25,-4.25,100.3
2020.1,,-0.03,-3.52,-3.52,100.17
2020.2,,-0.04,-3.49,-3.49,100.1
2020.3,,-0.04,-3.3,-3.3,99.87
2020.4,,-0.03,-3.16,-3.16,99.9
2021.1,,-0.02,-2.89,-2.89,100.17
2021.2,,-0.02,-2.41,-2.41,99.2
2021.3,,-0.03,-2.81,-2.81,99.33
2021.4,,-0.03,-2.33,-2.33,99.17
2022.1,,-0.02,-1.31,-1.31,99.23
2022.2,,-0.02,-0.61,-0.61,100.03
2022.3,,-0.03,-0.82,-0.82,100.87
2022.4,,-0.06,-0.56,-0.56,101.93
2023.1,,-0.02,-0.29,-0.29,102.67
2023.2,,-0.04,-0.54,-0.54,104.23
2023.3,,-0.05,-0.45,-0.45,105.17
2023.4,,-0.02,-0.28,-0.28,105.87
